rotation_degrees,x_voltage_v,y_voltage_v,pupil_1_intensity,pupil_2_intensity,pupil_3_intensity,pupil_4_intensity
1.0,1.0,1.0,19659467.077366814,17515912.640038453,24758111.38514612,17518566.885674976
2.0,1.0,1.0,19622143.962076142,17527221.143454213,24853230.28840775,17437223.66911605
