series,fixed_axis,fixed_voltage_v,y_voltage_v,pupil_1_intensity,pupil_2_intensity,pupil_3_intensity,pupil_4_intensity
B,x,-1.183,0.004,40840595.81943905,34558982.014328524,964939.8645831353,1126711.5918350094
B,x,-1.183,0.115,38445558.3229095,39609041.92129912,1141656.8262425603,1561439.2504645707
B,x,-1.183,0.201,35059221.99729014,41936604.40691402,1551813.6267054016,1671693.3296952182
B,x,-1.183,0.31,31362318.534078047,44782509.685825326,2043201.4655275373,1239679.149612952
B,x,-1.183,0.412,27476059.108346477,46828784.29992539,2289521.5693836617,957593.5288277346
B,x,-1.183,0.497,24866233.360075615,48303419.52389997,2209450.540449376,881381.8397568034
B,x,-1.183,0.6,20274063.339995403,48715481.08062954,1863538.4787029708,1044815.0066680608
B,x,-1.183,0.71,16511921.99131896,49485561.5444156,1339536.7000594991,1426371.2077081292
B,x,-1.183,0.808,13599229.944145914,46035505.71365066,973750.3207973639,1996146.8178233658
