filename,capture_type,series,fixed_axis,x_voltage_v,y_voltage_v,exposure_us,timestamp,camera_serial,image_height,image_width,minimum_value,maximum_value
init_Xn1d183_Yp0d245_2026-08-10T15-58-26.775.tif,initialization,B,x,-1.183,0.245,91,2026-08-10T15:58:26.775,32335,1080,1440,1,1022
B_series_x_Xn1d183_Yp0d004_2026-08-10T15-59-14.659.tif,scan_point,B,x,-1.183,0.004,91,2026-08-10T15:59:14.659,32335,1080,1440,1,1022
B_series_x_Xn1d183_Yp0d115_2026-08-10T15-59-32.269.tif,scan_point,B,x,-1.183,0.115,91,2026-08-10T15:59:32.269,32335,1080,1440,1,1022
B_series_x_Xn1d183_Yp0d201_2026-08-10T15-59-49.408.tif,scan_point,B,x,-1.183,0.201,91,2026-08-10T15:59:49.408,32335,1080,1440,1,1022
B_series_x_Xn1d183_Yp0d310_2026-08-10T16-00-22.504.tif,scan_point,B,x,-1.183,0.31,91,2026-08-10T16:00:22.504,32335,1080,1440,1,1022
B_series_x_Xn1d183_Yp0d412_2026-08-10T16-00-43.133.tif,scan_point,B,x,-1.183,0.412,91,2026-08-10T16:00:43.133,32335,1080,1440,1,1022
B_series_x_Xn1d183_Yp0d497_2026-08-10T16-01-13.860.tif,scan_point,B,x,-1.183,0.497,91,2026-08-10T16:01:13.860,32335,1080,1440,1,1022
B_series_x_Xn1d183_Yp0d600_2026-08-10T16-01-31.375.tif,scan_point,B,x,-1.183,0.6,91,2026-08-10T16:01:31.375,32335,1080,1440,1,1022
B_series_x_Xn1d183_Yp0d710_2026-08-10T16-02-04.275.tif,scan_point,B,x,-1.183,0.71,91,2026-08-10T16:02:04.275,32335,1080,1440,1,1022
B_series_x_Xn1d183_Yp0d808_2026-08-10T16-02-22.425.tif,scan_point,B,x,-1.183,0.808,91,2026-08-10T16:02:22.425,32335,1080,1440,1,1022
