filename,capture_type,series,fixed_axis,x_voltage_v,y_voltage_v,exposure_us,timestamp,camera_serial,image_height,image_width,minimum_value,maximum_value
init_Xn1d183_Yp0d223_2026-08-10T16-06-29.038.tif,initialization,T,y,-1.183,0.223,91,2026-08-10T16:06:29.038,32335,1080,1440,1,1022
T_series_y_Xn1d424_Yp0d223_2026-08-10T16-06-59.709.tif,scan_point,T,y,-1.424,0.223,91,2026-08-10T16:06:59.709,32335,1080,1440,1,1022
T_series_y_Xn1d317_Yp0d223_2026-08-10T16-07-19.836.tif,scan_point,T,y,-1.317,0.223,91,2026-08-10T16:07:19.836,32335,1080,1440,1,1022
T_series_y_Xn1d218_Yp0d223_2026-08-10T16-07-35.559.tif,scan_point,T,y,-1.218,0.223,91,2026-08-10T16:07:35.559,32335,1080,1440,1,1022
T_series_y_Xn1d096_Yp0d223_2026-08-10T16-07-55.059.tif,scan_point,T,y,-1.096,0.223,91,2026-08-10T16:07:55.059,32335,1080,1440,1,1022
T_series_y_Xn0d914_Yp0d223_2026-08-10T16-08-16.057.tif,scan_point,T,y,-0.914,0.223,91,2026-08-10T16:08:16.057,32335,1080,1440,1,1022
T_series_y_Xn0d804_Yp0d223_2026-08-10T16-08-33.460.tif,scan_point,T,y,-0.804,0.223,91,2026-08-10T16:08:33.460,32335,1080,1440,1,1022
T_series_y_Xn0d695_Yp0d223_2026-08-10T16-08-48.337.tif,scan_point,T,y,-0.695,0.223,91,2026-08-10T16:08:48.337,32335,1080,1440,1,1022
T_series_y_Xn0d605_Yp0d223_2026-08-10T16-09-02.929.tif,scan_point,T,y,-0.605,0.223,91,2026-08-10T16:09:02.929,32335,1080,1440,1,1022
T_series_y_Xn0d512_Yp0d223_2026-08-10T16-09-28.961.tif,scan_point,T,y,-0.512,0.223,91,2026-08-10T16:09:28.961,32335,1080,1440,1,1022
T_series_y_Xn0d394_Yp0d223_2026-08-10T16-09-53.337.tif,scan_point,T,y,-0.394,0.223,91,2026-08-10T16:09:53.337,32335,1080,1440,1,1022
