filename,capture_type,series,fixed_axis,x_voltage_v,y_voltage_v,exposure_us,timestamp,camera_serial,image_height,image_width,minimum_value,maximum_value
init_Xn1d198_Yp0d224_2026-08-11T09-10-39.989.tif,initialization,B,y,-1.198,0.224,91,2026-08-11T09:10:39.989,32335,1080,1440,1,1022
B_series_y_Xn2d598_Yp0d224_2026-08-11T09-11-34.047.tif,scan_point,B,y,-2.598,0.224,91,2026-08-11T09:11:34.047,32335,1080,1440,1,124
B_series_y_Xn2d505_Yp0d224_2026-08-11T09-11-53.013.tif,scan_point,B,y,-2.505,0.224,91,2026-08-11T09:11:53.013,32335,1080,1440,1,1022
B_series_y_Xn2d401_Yp0d224_2026-08-11T09-12-10.440.tif,scan_point,B,y,-2.401,0.224,91,2026-08-11T09:12:10.440,32335,1080,1440,1,1022
B_series_y_Xn2d308_Yp0d224_2026-08-11T09-12-33.964.tif,scan_point,B,y,-2.308,0.224,91,2026-08-11T09:12:33.964,32335,1080,1440,1,1022
B_series_y_Xn2d200_Yp0d224_2026-08-11T09-12-52.326.tif,scan_point,B,y,-2.2,0.224,91,2026-08-11T09:12:52.326,32335,1080,1440,1,1022
B_series_y_Xn2d100_Yp0d224_2026-08-11T09-13-16.299.tif,scan_point,B,y,-2.1,0.224,91,2026-08-11T09:13:16.299,32335,1080,1440,1,1022
B_series_y_Xn2d002_Yp0d224_2026-08-11T09-13-57.772.tif,scan_point,B,y,-2.002,0.224,91,2026-08-11T09:13:57.772,32335,1080,1440,1,1022
B_series_y_Xn1d902_Yp0d224_2026-08-11T09-14-20.637.tif,scan_point,B,y,-1.902,0.224,91,2026-08-11T09:14:20.637,32335,1080,1440,1,1022
B_series_y_Xn1d803_Yp0d224_2026-08-11T09-14-39.918.tif,scan_point,B,y,-1.803,0.224,91,2026-08-11T09:14:39.918,32335,1080,1440,1,1022
B_series_y_Xn1d701_Yp0d224_2026-08-11T09-14-58.584.tif,scan_point,B,y,-1.701,0.224,91,2026-08-11T09:14:58.584,32335,1080,1440,1,1022
B_series_y_Xn1d596_Yp0d224_2026-08-11T09-15-20.150.tif,scan_point,B,y,-1.596,0.224,91,2026-08-11T09:15:20.150,32335,1080,1440,1,1022
B_series_y_Xn1d498_Yp0d224_2026-08-11T09-15-42.011.tif,scan_point,B,y,-1.498,0.224,91,2026-08-11T09:15:42.011,32335,1080,1440,1,1022
B_series_y_Xn1d406_Yp0d224_2026-08-11T09-15-59.261.tif,scan_point,B,y,-1.406,0.224,91,2026-08-11T09:15:59.261,32335,1080,1440,1,1022
B_series_y_Xn1d303_Yp0d224_2026-08-11T09-16-17.887.tif,scan_point,B,y,-1.303,0.224,91,2026-08-11T09:16:17.887,32335,1080,1440,1,1022
B_series_y_Xn1d200_Yp0d224_2026-08-11T09-16-35.766.tif,scan_point,B,y,-1.2,0.224,91,2026-08-11T09:16:35.766,32335,1080,1440,1,1022
B_series_y_Xn1d098_Yp0d224_2026-08-11T09-17-11.951.tif,scan_point,B,y,-1.098,0.224,91,2026-08-11T09:17:11.951,32335,1080,1440,1,1022
B_series_y_Xn1d012_Yp0d224_2026-08-11T09-17-43.138.tif,scan_point,B,y,-1.012,0.224,91,2026-08-11T09:17:43.138,32335,1080,1440,1,1022
B_series_y_Xn0d899_Yp0d224_2026-08-11T09-18-02.724.tif,scan_point,B,y,-0.899,0.224,91,2026-08-11T09:18:02.724,32335,1080,1440,1,1022
B_series_y_Xn0d796_Yp0d224_2026-08-11T09-18-25.453.tif,scan_point,B,y,-0.796,0.224,91,2026-08-11T09:18:25.453,32335,1080,1440,1,1022
B_series_y_Xn0d702_Yp0d224_2026-08-11T09-18-47.509.tif,scan_point,B,y,-0.702,0.224,91,2026-08-11T09:18:47.509,32335,1080,1440,1,1022
B_series_y_Xn0d602_Yp0d224_2026-08-11T09-19-09.347.tif,scan_point,B,y,-0.602,0.224,91,2026-08-11T09:19:09.347,32335,1080,1440,1,1022
