rotation_degrees,x_voltage_v,y_voltage_v,pupil_1_intensity,pupil_2_intensity,pupil_3_intensity,pupil_4_intensity,summed_intensity
0.0,-1.177,0.1763,16180083.023290113,15641163.030266471,25028428.223844934,20944747.138719723,77794421.41612124
80.0,-1.177,0.1763,12266899.18628698,5794400.398099553,35479422.742550604,11830354.197250813,65371076.52418795
160.0,-1.177,0.1763,18239287.83880329,13065792.097315785,3433560.7107373155,39475095.732035294,74213736.37889168
240.0,-1.177,0.1763,10683810.67658703,3837210.508411232,6503439.161359422,41270954.98182659,62295415.32818428
320.0,-1.177,0.1763,29828395.714447655,815272.067998974,16412482.220090251,30555951.5955672,77612101.59810407
360.0,-1.177,0.1763,16089974.617426062,15589527.227145988,26134856.38242154,20094923.338436805,77909281.5654304
