filename,capture_type,series,fixed_axis,x_voltage_v,y_voltage_v,exposure_us,timestamp,camera_serial,image_height,image_width,minimum_value,maximum_value
init_Xn1d211_Yp0d205_2026-08-11T08-50-22.764.tif,initialization,T,y,-1.211,0.205,91,2026-08-11T08:50:22.764,32335,1080,1440,1,1022
T_series_y_Xn2d010_Yp0d205_2026-08-11T08-51-19.402.tif,scan_point,T,y,-2.01,0.205,91,2026-08-11T08:51:19.402,32335,1080,1440,1,562
T_series_y_Xn1d904_Yp0d205_2026-08-11T08-51-36.013.tif,scan_point,T,y,-1.904,0.205,91,2026-08-11T08:51:36.013,32335,1080,1440,1,618
T_series_y_Xn1d801_Yp0d205_2026-08-11T08-51-53.677.tif,scan_point,T,y,-1.801,0.205,91,2026-08-11T08:51:53.677,32335,1080,1440,1,1011
T_series_y_Xn1d702_Yp0d205_2026-08-11T08-52-10.479.tif,scan_point,T,y,-1.702,0.205,91,2026-08-11T08:52:10.479,32335,1080,1440,1,1022
T_series_y_Xn1d600_Yp0d205_2026-08-11T08-52-26.678.tif,scan_point,T,y,-1.6,0.205,91,2026-08-11T08:52:26.678,32335,1080,1440,1,1022
T_series_y_Xn1d502_Yp0d205_2026-08-11T08-52-48.503.tif,scan_point,T,y,-1.502,0.205,91,2026-08-11T08:52:48.503,32335,1080,1440,1,1022
T_series_y_Xn1d408_Yp0d205_2026-08-11T08-53-06.055.tif,scan_point,T,y,-1.408,0.205,91,2026-08-11T08:53:06.055,32335,1080,1440,1,1022
T_series_y_Xn1d306_Yp0d205_2026-08-11T08-53-28.518.tif,scan_point,T,y,-1.306,0.205,91,2026-08-11T08:53:28.518,32335,1080,1440,1,1022
T_series_y_Xn1d200_Yp0d205_2026-08-11T08-53-49.260.tif,scan_point,T,y,-1.2,0.205,91,2026-08-11T08:53:49.260,32335,1080,1440,1,1022
T_series_y_Xn1d105_Yp0d205_2026-08-11T08-54-20.795.tif,scan_point,T,y,-1.105,0.205,91,2026-08-11T08:54:20.795,32335,1080,1440,1,1022
T_series_y_Xn1d008_Yp0d205_2026-08-11T08-54-39.463.tif,scan_point,T,y,-1.008,0.205,91,2026-08-11T08:54:39.463,32335,1080,1440,1,1022
T_series_y_Xn0d905_Yp0d205_2026-08-11T08-54-58.291.tif,scan_point,T,y,-0.905,0.205,91,2026-08-11T08:54:58.291,32335,1080,1440,1,1022
T_series_y_Xn0d807_Yp0d205_2026-08-11T08-55-27.239.tif,scan_point,T,y,-0.807,0.205,91,2026-08-11T08:55:27.239,32335,1080,1440,1,1022
T_series_y_Xn0d703_Yp0d205_2026-08-11T08-55-50.020.tif,scan_point,T,y,-0.703,0.205,91,2026-08-11T08:55:50.020,32335,1080,1440,1,1022
T_series_y_Xn0d601_Yp0d205_2026-08-11T08-56-19.829.tif,scan_point,T,y,-0.601,0.205,91,2026-08-11T08:56:19.829,32335,1080,1440,1,1022
T_series_y_Xn0d503_Yp0d205_2026-08-11T08-56-42.946.tif,scan_point,T,y,-0.503,0.205,91,2026-08-11T08:56:42.946,32335,1080,1440,1,1022
T_series_y_Xn0d405_Yp0d205_2026-08-11T08-56-59.491.tif,scan_point,T,y,-0.405,0.205,91,2026-08-11T08:56:59.491,32335,1080,1440,1,1022
T_series_y_Xn0d304_Yp0d205_2026-08-11T08-57-25.812.tif,scan_point,T,y,-0.304,0.205,91,2026-08-11T08:57:25.812,32335,1080,1440,1,1022
T_series_y_Xn0d203_Yp0d205_2026-08-11T08-57-43.927.tif,scan_point,T,y,-0.203,0.205,91,2026-08-11T08:57:43.927,32335,1080,1440,1,1022
T_series_y_Xn0d105_Yp0d205_2026-08-11T08-58-04.242.tif,scan_point,T,y,-0.105,0.205,91,2026-08-11T08:58:04.242,32335,1080,1440,1,1022
T_series_y_Xn0d001_Yp0d205_2026-08-11T08-58-23.714.tif,scan_point,T,y,-0.001,0.205,91,2026-08-11T08:58:23.714,32335,1080,1440,1,1022
