series,fixed_axis,fixed_voltage_v,x_voltage_v,pupil_1_intensity,pupil_2_intensity,pupil_3_intensity,pupil_4_intensity
T,y,0.205,-2.01,437586.42883943126,285881.2724472449,3570911.5990750673,6646495.736606616
T,y,0.205,-1.904,667395.390563153,355680.05146546615,6357428.758456893,5576779.853691928
T,y,0.205,-1.801,2410641.852848516,690666.314606736,7908522.135009751,4234653.499431746
T,y,0.205,-1.702,12433288.601613186,1949676.6958579284,8800703.63288415,3559519.825688445
T,y,0.205,-1.6,24767950.855956256,3952594.7252991702,8465414.724081177,3676112.967093283
T,y,0.205,-1.502,56019399.76691194,2800309.2909073383,6575126.976118572,4223286.404230031
T,y,0.205,-1.408,55490657.280328125,9072315.57614401,5540848.028905672,5254257.772764424
T,y,0.205,-1.306,46271462.76244053,20688821.376084723,6012930.706937025,4604241.853671539
T,y,0.205,-1.2,33001170.866239958,34241682.23891614,5321410.539674619,4988210.20697139
T,y,0.205,-1.105,22245182.5102221,44043338.19070089,4644417.996208288,5316402.479347492
T,y,0.205,-1.008,16576381.534996761,50669802.79985717,3949890.348559452,5525882.734683542
T,y,0.205,-0.905,17016815.248998005,50329143.552569784,3353002.6561549744,5491891.216953492
T,y,0.205,-0.807,24418340.48901658,44212934.49128056,2333829.2644340573,4220283.399378542
T,y,0.205,-0.703,33813238.59056406,34951783.04705556,1264294.868916965,2261896.843733327
T,y,0.205,-0.601,30466132.043830805,37272336.241430596,641444.3904883779,969476.6755558233
T,y,0.205,-0.503,32062581.738813035,33309159.220177077,393868.27807240817,479943.8145778399
T,y,0.205,-0.405,33888751.49694295,28029523.375433795,336798.1262117627,338892.57572999
T,y,0.205,-0.304,33227343.29793422,23218756.960020054,341979.2842560257,340427.5386774551
T,y,0.205,-0.203,30138760.82416427,17503514.609916866,369446.5097936863,409492.09605942725
T,y,0.205,-0.105,20173476.62482088,10709772.007986357,483006.4934262608,622475.815535472
T,y,0.205,-0.001,15063829.757587751,6926917.126249253,308293.4711237734,467453.96638323594
