series,fixed_axis,fixed_voltage_v,y_voltage_v,pupil_1_intensity,pupil_2_intensity,pupil_3_intensity,pupil_4_intensity
B,x,-1.0,1.0,18605920.52178549,19102313.977433614,22580149.763041668,12395268.84245095
B,x,-1.0,2.0,18558060.935486365,19123636.48891005,22604917.10648812,12360562.88992821
