filename,capture_type,series,fixed_axis,x_voltage_v,y_voltage_v,exposure_us,timestamp,camera_serial,image_height,image_width,minimum_value,maximum_value
init_Xn1d000_Yn2d000_2026-08-10T15-10-22.753.tif,initialization,B,x,-1.0,-2.0,91,2026-08-10T15:10:22.753,32335,1080,1440,1,1022
B_series_x_Xn1d000_Yp1d000_2026-08-10T15-10-24.364.tif,scan_point,B,x,-1.0,1.0,91,2026-08-10T15:10:24.364,32335,1080,1440,1,1022
B_series_x_Xn1d000_Yp2d000_2026-08-10T15-10-25.129.tif,scan_point,B,x,-1.0,2.0,91,2026-08-10T15:10:25.129,32335,1080,1440,1,1022
