series,fixed_axis,fixed_voltage_v,y_voltage_v,pupil_1_intensity,pupil_2_intensity,pupil_3_intensity,pupil_4_intensity
B,x,-1.16,-0.407,1930385.397986357,1747188.3754545664,7794766.668186309,12866733.561011326
B,x,-1.16,-0.301,2490381.1348162154,2355616.3557455586,10432504.130689915,17966999.556462843
B,x,-1.16,-0.199,2707522.479614842,2635083.0245098583,12481525.010795979,21332155.37275452
B,x,-1.16,-0.1,2697032.720726355,2732946.0516674845,16024881.38854523,22790718.019169554
B,x,-1.16,-0.004,2545742.997350296,2797300.0652386146,17535579.003755577,23639936.674921375
B,x,-1.16,0.103,2125094.7638344597,2678005.5520958,23352941.043653347,30291060.141015805
B,x,-1.16,0.205,1523321.0097614375,2318568.038104474,36244820.965989724,37902026.26660496
B,x,-1.16,0.303,1324423.761064439,2293527.690931364,48063940.16589267,28021105.407776706
B,x,-1.16,0.4,1187459.575653011,2371155.939064248,53970089.11125212,20332088.09602969
B,x,-1.16,0.502,1081622.6250773594,2385112.9412130243,52667523.6668655,18325820.783264253
B,x,-1.16,0.601,915080.2672755661,2386911.542622807,44497900.42703409,22445595.31691602
B,x,-1.16,0.703,759802.2721642824,2342665.793930169,31734057.50789377,32300261.627884015
B,x,-1.16,0.797,655951.6720190088,2265117.386829261,19381178.326597467,43218527.11936119
B,x,-1.16,0.899,623824.9486770928,687630.3427478948,8590859.044408305,52688056.103697665
B,x,-1.16,0.998,592350.0528050732,400907.2594091577,3152707.3195226113,56107010.39409006
B,x,-1.16,1.107,823469.8840475641,766345.5698888057,2606167.7621412943,24753290.13999079
B,x,-1.16,1.204,725597.1284584035,691587.3880100383,1653401.0523472002,18137254.94129917
B,x,-1.16,1.304,576508.2030241692,543622.7149547129,1026090.4336121213,13360612.580428217
B,x,-1.16,1.4,473576.14939990547,456728.9488067336,755618.2270236989,9633748.023193026
B,x,-1.16,1.506,352912.8696383147,344303.9089748336,556638.5864370742,5927307.964595694
B,x,-1.16,1.591,271139.01443169446,264322.21653065714,447830.7188755085,2871194.163271049
