filename,capture_type,series,fixed_axis,x_voltage_v,y_voltage_v,exposure_us,timestamp,camera_serial,image_height,image_width,minimum_value,maximum_value
init_Xn1d160_Yp0d223_2026-08-11T09-20-29.370.tif,initialization,B,x,-1.16,0.223,91,2026-08-11T09:20:29.370,32335,1080,1440,1,1022
B_series_x_Xn1d160_Yp1d591_2026-08-11T09-21-03.954.tif,scan_point,B,x,-1.16,1.591,91,2026-08-11T09:21:03.954,32335,1080,1440,1,495
B_series_x_Xn1d160_Yp1d506_2026-08-11T09-21-26.616.tif,scan_point,B,x,-1.16,1.506,91,2026-08-11T09:21:26.616,32335,1080,1440,1,717
B_series_x_Xn1d160_Yp1d400_2026-08-11T09-21-42.845.tif,scan_point,B,x,-1.16,1.4,91,2026-08-11T09:21:42.845,32335,1080,1440,1,927
B_series_x_Xn1d160_Yp1d304_2026-08-11T09-22-02.127.tif,scan_point,B,x,-1.16,1.304,91,2026-08-11T09:22:02.127,32335,1080,1440,1,1022
B_series_x_Xn1d160_Yp1d204_2026-08-11T09-22-23.807.tif,scan_point,B,x,-1.16,1.204,91,2026-08-11T09:22:23.807,32335,1080,1440,1,1022
B_series_x_Xn1d160_Yp1d107_2026-08-11T09-22-43.135.tif,scan_point,B,x,-1.16,1.107,91,2026-08-11T09:22:43.135,32335,1080,1440,1,1022
B_series_x_Xn1d160_Yp0d998_2026-08-11T09-23-01.572.tif,scan_point,B,x,-1.16,0.998,91,2026-08-11T09:23:01.572,32335,1080,1440,1,1022
B_series_x_Xn1d160_Yp0d899_2026-08-11T09-23-23.432.tif,scan_point,B,x,-1.16,0.899,91,2026-08-11T09:23:23.432,32335,1080,1440,1,1022
B_series_x_Xn1d160_Yp0d797_2026-08-11T09-23-41.501.tif,scan_point,B,x,-1.16,0.797,91,2026-08-11T09:23:41.501,32335,1080,1440,1,1022
B_series_x_Xn1d160_Yp0d703_2026-08-11T09-23-56.785.tif,scan_point,B,x,-1.16,0.703,91,2026-08-11T09:23:56.785,32335,1080,1440,1,1022
B_series_x_Xn1d160_Yp0d601_2026-08-11T09-24-21.213.tif,scan_point,B,x,-1.16,0.601,91,2026-08-11T09:24:21.213,32335,1080,1440,1,1022
B_series_x_Xn1d160_Yp0d502_2026-08-11T09-24-46.473.tif,scan_point,B,x,-1.16,0.502,91,2026-08-11T09:24:46.473,32335,1080,1440,1,1022
B_series_x_Xn1d160_Yp0d400_2026-08-11T09-25-08.546.tif,scan_point,B,x,-1.16,0.4,91,2026-08-11T09:25:08.546,32335,1080,1440,1,1022
B_series_x_Xn1d160_Yp0d303_2026-08-11T09-25-27.761.tif,scan_point,B,x,-1.16,0.303,91,2026-08-11T09:25:27.761,32335,1080,1440,1,1022
B_series_x_Xn1d160_Yp0d205_2026-08-11T09-25-59.120.tif,scan_point,B,x,-1.16,0.205,91,2026-08-11T09:25:59.120,32335,1080,1440,1,1022
B_series_x_Xn1d160_Yp0d103_2026-08-11T09-26-31.175.tif,scan_point,B,x,-1.16,0.103,91,2026-08-11T09:26:31.175,32335,1080,1440,1,1022
B_series_x_Xn1d160_Yn0d004_2026-08-11T09-26-56.101.tif,scan_point,B,x,-1.16,-0.004,91,2026-08-11T09:26:56.101,32335,1080,1440,1,1022
B_series_x_Xn1d160_Yn0d100_2026-08-11T09-27-16.182.tif,scan_point,B,x,-1.16,-0.1,91,2026-08-11T09:27:16.182,32335,1080,1440,1,1022
B_series_x_Xn1d160_Yn0d199_2026-08-11T09-27-37.640.tif,scan_point,B,x,-1.16,-0.199,91,2026-08-11T09:27:37.640,32335,1080,1440,1,1022
B_series_x_Xn1d160_Yn0d301_2026-08-11T09-27-55.932.tif,scan_point,B,x,-1.16,-0.301,91,2026-08-11T09:27:55.932,32335,1080,1440,1,1022
B_series_x_Xn1d160_Yn0d407_2026-08-11T09-28-15.322.tif,scan_point,B,x,-1.16,-0.407,91,2026-08-11T09:28:15.322,32335,1080,1440,1,1022
