filename,capture_type,series,fixed_axis,x_voltage_v,y_voltage_v,exposure_us,timestamp,camera_serial,image_height,image_width,minimum_value,maximum_value
init_Xn1d205_Yp0d201_2026-08-11T08-41-23.925.tif,initialization,B,x,-1.205,0.201,142,2026-08-11T08:41:23.925,32335,1080,1440,1,1022
B_series_x_Xn1d205_Yn0d406_2026-08-11T08-42-10.973.tif,scan_point,B,x,-1.205,-0.406,142,2026-08-11T08:42:10.973,32335,1080,1440,1,1022
B_series_x_Xn1d205_Yn0d308_2026-08-11T08-42-33.633.tif,scan_point,B,x,-1.205,-0.308,142,2026-08-11T08:42:33.633,32335,1080,1440,1,1022
B_series_x_Xn1d205_Yn0d206_2026-08-11T08-42-54.349.tif,scan_point,B,x,-1.205,-0.206,142,2026-08-11T08:42:54.349,32335,1080,1440,1,1022
B_series_x_Xn1d205_Yn0d106_2026-08-11T08-43-11.785.tif,scan_point,B,x,-1.205,-0.106,142,2026-08-11T08:43:11.785,32335,1080,1440,1,1022
B_series_x_Xn1d205_Yn0d004_2026-08-11T08-43-35.795.tif,scan_point,B,x,-1.205,-0.004,142,2026-08-11T08:43:35.795,32335,1080,1440,1,1022
B_series_x_Xn1d205_Yp0d099_2026-08-11T08-44-00.675.tif,scan_point,B,x,-1.205,0.099,142,2026-08-11T08:44:00.675,32335,1080,1440,1,1022
B_series_x_Xn1d205_Yp0d201_2026-08-11T08-44-23.710.tif,scan_point,B,x,-1.205,0.201,142,2026-08-11T08:44:23.710,32335,1080,1440,1,1022
B_series_x_Xn1d205_Yp0d301_2026-08-11T08-44-42.975.tif,scan_point,B,x,-1.205,0.301,142,2026-08-11T08:44:42.975,32335,1080,1440,1,1022
B_series_x_Xn1d205_Yp0d402_2026-08-11T08-45-00.134.tif,scan_point,B,x,-1.205,0.402,142,2026-08-11T08:45:00.134,32335,1080,1440,1,1022
B_series_x_Xn1d205_Yp0d509_2026-08-11T08-45-22.846.tif,scan_point,B,x,-1.205,0.509,142,2026-08-11T08:45:22.846,32335,1080,1440,1,1022
B_series_x_Xn1d205_Yp0d605_2026-08-11T08-45-42.865.tif,scan_point,B,x,-1.205,0.605,142,2026-08-11T08:45:42.865,32335,1080,1440,1,1022
B_series_x_Xn1d205_Yp0d699_2026-08-11T08-45-59.328.tif,scan_point,B,x,-1.205,0.699,142,2026-08-11T08:45:59.328,32335,1080,1440,1,1022
B_series_x_Xn1d205_Yp0d805_2026-08-11T08-46-17.276.tif,scan_point,B,x,-1.205,0.805,142,2026-08-11T08:46:17.276,32335,1080,1440,1,1022
B_series_x_Xn1d205_Yp0d905_2026-08-11T08-46-36.382.tif,scan_point,B,x,-1.205,0.905,142,2026-08-11T08:46:36.382,32335,1080,1440,1,1022
