filename,capture_type,series,fixed_axis,x_voltage_v,y_voltage_v,exposure_us,timestamp,camera_serial,image_height,image_width,minimum_value,maximum_value
init_Xn1d274_Yp0d221_2026-08-10T15-49-44.768.tif,initialization,T,y,-1.274,0.221,91,2026-08-10T15:49:44.768,32335,1080,1440,1,1022
T_series_y_Xn0d008_Yp0d221_2026-08-10T15-50-55.521.tif,scan_point,T,y,-0.008,0.221,91,2026-08-10T15:50:55.521,32335,1080,1440,1,1022
T_series_y_Xn0d102_Yp0d221_2026-08-10T15-51-18.349.tif,scan_point,T,y,-0.102,0.221,91,2026-08-10T15:51:18.349,32335,1080,1440,1,1022
T_series_y_Xn0d200_Yp0d221_2026-08-10T15-51-38.482.tif,scan_point,T,y,-0.2,0.221,91,2026-08-10T15:51:38.482,32335,1080,1440,1,1022
T_series_y_Xn0d313_Yp0d221_2026-08-10T15-52-01.899.tif,scan_point,T,y,-0.313,0.221,91,2026-08-10T15:52:01.899,32335,1080,1440,1,1022
T_series_y_Xn0d401_Yp0d221_2026-08-10T15-52-21.606.tif,scan_point,T,y,-0.401,0.221,91,2026-08-10T15:52:21.606,32335,1080,1440,1,1022
T_series_y_Xn0d498_Yp0d221_2026-08-10T15-52-40.009.tif,scan_point,T,y,-0.498,0.221,91,2026-08-10T15:52:40.009,32335,1080,1440,1,1022
T_series_y_Xn0d599_Yp0d221_2026-08-10T15-53-02.097.tif,scan_point,T,y,-0.599,0.221,91,2026-08-10T15:53:02.097,32335,1080,1440,1,1022
T_series_y_Xp0d702_Yp0d221_2026-08-10T15-53-21.609.tif,scan_point,T,y,0.702,0.221,91,2026-08-10T15:53:21.609,32335,1080,1440,1,1022
T_series_y_Xp0d806_Yp0d221_2026-08-10T15-53-35.415.tif,scan_point,T,y,0.806,0.221,91,2026-08-10T15:53:35.415,32335,1080,1440,1,1022
T_series_y_Xp0d915_Yp0d221_2026-08-10T15-53-46.275.tif,scan_point,T,y,0.915,0.221,91,2026-08-10T15:53:46.275,32335,1080,1440,1,1022
