series,fixed_axis,fixed_voltage_v,x_voltage_v,pupil_1_intensity,pupil_2_intensity,pupil_3_intensity,pupil_4_intensity
T,y,0.221,-0.599,32338727.420925748,39443847.083532274,311694.07784899813,367962.7882515632
T,y,0.221,-0.498,34761616.283084005,35201850.13891795,275894.103698472,286490.8496443003
T,y,0.221,-0.401,35800403.98718387,30684209.55721096,291268.0924674912,282737.3335385165
T,y,0.221,-0.313,36028855.28412209,26772794.39856373,302142.288188827,298777.33347795723
T,y,0.221,-0.2,34259373.808586,19755274.180669017,327264.6582861745,352845.2973573932
T,y,0.221,-0.102,24693206.26189741,12379710.551623583,452134.45445453527,576849.4500732017
T,y,0.221,-0.008,18802021.880831577,7921869.8271910865,308337.88323015545,473260.24966497946
T,y,0.221,0.702,37243724.12276217,35961810.27404696,527479.7786129816,820301.6170984372
T,y,0.221,0.806,27427690.59781389,44247026.27868496,998892.0143025935,1713400.0970053785
T,y,0.221,0.915,18761836.6566538,51146098.09089212,1351048.4312013288,2178542.5493527777
