filename,capture_type,series,fixed_axis,x_voltage_v,y_voltage_v,exposure_us,timestamp,camera_serial,image_height,image_width,minimum_value,maximum_value
init_Xn1d193_Yp0d207_2026-08-10T15-31-32.781.tif,initialization,T,x,-1.193,0.207,193,2026-08-10T15:31:32.781,32335,1080,1440,1,1022
T_series_x_Xn1d193_Yn0d199_2026-08-10T15-34-09.790.tif,scan_point,T,x,-1.193,-0.199,193,2026-08-10T15:34:09.790,32335,1080,1440,1,1022
T_series_x_Xn1d193_Yn0d153_2026-08-10T15-34-36.880.tif,scan_point,T,x,-1.193,-0.153,193,2026-08-10T15:34:36.880,32335,1080,1440,1,1022
T_series_x_Xn1d193_Yn0d100_2026-08-10T15-34-57.672.tif,scan_point,T,x,-1.193,-0.1,193,2026-08-10T15:34:57.672,32335,1080,1440,1,1022
T_series_x_Xn1d193_Yn0d051_2026-08-10T15-35-18.699.tif,scan_point,T,x,-1.193,-0.051,193,2026-08-10T15:35:18.699,32335,1080,1440,1,1022
T_series_x_Xn1d193_Yp0d001_2026-08-10T15-36-23.175.tif,scan_point,T,x,-1.193,0.001,193,2026-08-10T15:36:23.175,32335,1080,1440,1,1022
T_series_x_Xn1d193_Yp0d061_2026-08-10T15-36-55.316.tif,scan_point,T,x,-1.193,0.061,193,2026-08-10T15:36:55.316,32335,1080,1440,1,1022
T_series_x_Xn1d193_Yp0d101_2026-08-10T15-37-11.042.tif,scan_point,T,x,-1.193,0.101,193,2026-08-10T15:37:11.042,32335,1080,1440,1,1022
T_series_x_Xn1d193_Yp0d259_2026-08-10T15-37-28.865.tif,scan_point,T,x,-1.193,0.259,193,2026-08-10T15:37:28.865,32335,1080,1440,1,1022
