series,fixed_axis,fixed_voltage_v,y_voltage_v,pupil_1_intensity,pupil_2_intensity,pupil_3_intensity,pupil_4_intensity
T,x,-1.193,-0.199,50037039.45004313,28860950.125865705,16233165.906312179,25628160.73809023
T,x,-1.193,-0.153,50900462.545731366,31110532.83331711,19086509.024852656,26260536.176983245
T,x,-1.193,-0.1,48817211.34069942,33303086.38040585,20293063.79401422,26773050.51903018
T,x,-1.193,-0.051,47960979.552491724,34895977.03735772,22158144.87870474,27316935.8138374
T,x,-1.193,0.001,46436322.123594806,36224905.83803762,24375009.614781752,27939176.936481822
T,x,-1.193,0.061,45296653.50047261,38820675.101413235,26344995.838188976,31013115.869061917
T,x,-1.193,0.101,44164177.94416808,40546403.212639935,30307250.310517386,43349337.77044559
T,x,-1.193,0.259,37765221.30144681,44685616.899376996,51587415.58035493,36299222.78019099
