rotation_degrees,x_voltage_v,y_voltage_v,pupil_1_intensity,pupil_2_intensity,pupil_3_intensity,pupil_4_intensity,summed_intensity
10.0,-1.221,0.22,38243380.26897837,35962516.71130894,3175825.7690972323,2327018.8659780584,79708741.61536261
20.0,-1.221,0.22,39174184.34673672,36902913.05785976,2024963.0186204314,1661221.6064471158,79763282.02966402
30.0,-1.221,0.22,31190855.079162076,29292864.04836107,10961917.848441483,8299357.103230381,79744994.07919502
40.0,-1.221,0.22,17784442.347944114,16749375.416290328,25731710.69442933,19107095.77231943,79372624.2309832
50.0,-1.221,0.22,6816058.038650425,6567362.99398,38076996.97703831,27635895.08195278,79096313.09162152
60.0,-1.221,0.22,1803103.1551324306,1846140.642973717,43739770.69934869,31890919.480205633,79279933.97766048
70.0,-1.221,0.22,5854553.052141324,5577831.136508845,39362104.70075409,28720538.504068673,79515027.39347294
80.0,-1.221,0.22,15489324.506738316,14516093.153833091,28775091.324053694,20718269.83613061,79498778.82075572
81.0,-1.221,0.22,19280635.89434903,17970464.166610844,24508201.572348017,17777320.26467343,79536621.89798132
90.0,-1.221,0.22,28781391.232553937,26929930.607354514,13877568.398864321,10003844.219454315,79592734.4582271
100.0,-1.221,0.22,37113119.91940107,34653345.40165894,4551799.077430298,3440817.4490399337,79759081.84753023
110.0,-1.221,0.22,37797736.390989326,35351139.34739831,3582744.768152018,2922948.1303690793,79654568.63690874
120.0,-1.221,0.22,30433731.41348779,28515327.01830568,11683823.00668637,8805129.276230121,79438010.71470997
130.0,-1.221,0.22,17914497.77457682,16768022.282787377,25664189.847085148,18853637.82941676,79200347.7338661
140.0,-1.221,0.22,6609527.021162203,6315300.113784524,38195387.4897448,27961568.63882261,79081783.26351413
150.0,-1.221,0.22,2063350.8165134003,2081428.5577990355,43439233.545970224,31679985.867183246,79263998.7874659
160.0,-1.221,0.22,5632643.2538577,5337483.844515322,39567765.863071874,28842632.92675471,79380525.88819961
170.0,-1.221,0.22,16124450.11955266,14952498.05144054,28234367.90719349,20265495.751611073,79576811.82979776
180.0,-1.221,0.22,29391863.722026873,27176814.660584223,13485896.22584505,9583167.538086964,79637742.14654312
190.0,-1.221,0.22,38206943.12360293,35294381.67196163,3630367.8446257915,2672382.159357627,79804074.79954797
200.0,-1.221,0.22,39022105.47499618,36040573.99931766,2626434.899280195,2127883.5588950096,79816997.93248904
210.0,-1.221,0.22,31146640.78946717,28759394.77088012,11283204.044151142,8532838.377397085,79722077.98189552
220.0,-1.221,0.22,18331303.348250933,16908163.297811154,25398389.039735455,18729410.744829495,79367266.43062703
230.0,-1.221,0.22,7187514.728382712,6788589.14395621,37752736.46558234,27388846.611512326,79117686.9494336
240.0,-1.221,0.22,1822487.9246891453,1840715.3138018684,43849221.83130011,31786735.547063824,79299160.61685495
250.0,-1.221,0.22,5778632.868960286,5430180.749591182,39699543.92977965,28560699.76510233,79469057.31343344
260.0,-1.221,0.22,15379399.583280895,14153219.953626655,29130925.986863524,20883929.65851495,79547475.18228602
270.0,-1.221,0.22,29255143.919750616,26973456.310758077,13741147.600293357,9850312.943741312,79820060.77454336
280.0,-1.221,0.22,37062270.5374638,34248915.32673702,4945701.82085472,3684668.9342051535,79941556.6192607
290.0,-1.221,0.22,37592289.842667386,34776452.22841829,4187760.1071093366,3307914.210801891,79864416.3889969
300.0,-1.221,0.22,29988608.841228925,27799874.44671228,12500804.854334552,9436663.290565174,79725951.43284093
310.0,-1.221,0.22,17454800.65454047,16234903.720110945,26364095.899275534,19216134.58934658,79269934.86327353
320.0,-1.221,0.22,6361687.385283284,6073338.272155465,38751889.159388155,27856045.515234437,79042960.33206134
330.0,-1.221,0.22,2078257.7505583689,2107398.202107915,43500175.25364064,31661665.906369425,79347497.11267635
340.0,-1.221,0.22,6404201.476339567,6104836.41004592,38952297.29439624,27690105.042092048,79151440.22287378
350.0,-1.221,0.22,15030585.925742976,14055244.382973053,29363407.33747089,21081036.23196557,79530273.87815249
360.0,-1.221,0.22,27714447.4910459,25973832.52975691,15175268.872072186,10770324.21515936,79633873.10803436
