filename,capture_type,experiment_type,series,fixed_axis,x_voltage_v,y_voltage_v,rotation_degrees,exposure_us,timestamp,camera_serial,image_height,image_width,minimum_value,maximum_value
rotation_Dp350d000_Xn1d221_Yp0d220_2026-08-17T13-04-04.860.tif,scan_point,rotation,,,-1.221,0.22,350.0,91,2026-08-17T13:04:04.860,32335,1080,1440,1,1022
rotation_Dp360d000_Xn1d221_Yp0d220_2026-08-17T13-04-16.845.tif,scan_point,rotation,,,-1.221,0.22,360.0,91,2026-08-17T13:04:16.845,32335,1080,1440,1,1022
rotation_Dp10d000_Xn1d221_Yp0d220_2026-08-17T13-04-25.856.tif,scan_point,rotation,,,-1.221,0.22,10.0,91,2026-08-17T13:04:25.856,32335,1080,1440,1,1022
rotation_Dp20d000_Xn1d221_Yp0d220_2026-08-17T13-04-33.302.tif,scan_point,rotation,,,-1.221,0.22,20.0,91,2026-08-17T13:04:33.302,32335,1080,1440,1,1022
rotation_Dp30d000_Xn1d221_Yp0d220_2026-08-17T13-04-41.454.tif,scan_point,rotation,,,-1.221,0.22,30.0,91,2026-08-17T13:04:41.454,32335,1080,1440,1,1022
rotation_Dp40d000_Xn1d221_Yp0d220_2026-08-17T13-04-47.955.tif,scan_point,rotation,,,-1.221,0.22,40.0,91,2026-08-17T13:04:47.955,32335,1080,1440,1,1022
rotation_Dp50d000_Xn1d221_Yp0d220_2026-08-17T13-04-55.278.tif,scan_point,rotation,,,-1.221,0.22,50.0,91,2026-08-17T13:04:55.278,32335,1080,1440,1,1022
rotation_Dp60d000_Xn1d221_Yp0d220_2026-08-17T13-05-02.313.tif,scan_point,rotation,,,-1.221,0.22,60.0,91,2026-08-17T13:05:02.313,32335,1080,1440,1,1022
rotation_Dp70d000_Xn1d221_Yp0d220_2026-08-17T13-05-10.444.tif,scan_point,rotation,,,-1.221,0.22,70.0,91,2026-08-17T13:05:10.444,32335,1080,1440,1,1022
rotation_Dp80d000_Xn1d221_Yp0d220_2026-08-17T13-05-23.454.tif,scan_point,rotation,,,-1.221,0.22,80.0,91,2026-08-17T13:05:23.454,32335,1080,1440,1,1022
