filename,capture_type,experiment_type,series,fixed_axis,x_voltage_v,y_voltage_v,rotation_degrees,exposure_us,timestamp,camera_serial,image_height,image_width,minimum_value,maximum_value
init_Xn1d221_Yp0d220_2026-08-17T12-59-29.527.tif,initialization,rotation,,,-1.221,0.22,,91,2026-08-17T12:59:29.527,32335,1080,1440,1,1022
rotation_Dp81d000_Xn1d221_Yp0d220_2026-08-17T12-59-49.142.tif,scan_point,rotation,,,-1.221,0.22,81.0,91,2026-08-17T12:59:49.142,32335,1080,1440,1,1022
rotation_Dp90d000_Xn1d221_Yp0d220_2026-08-17T13-00-07.087.tif,scan_point,rotation,,,-1.221,0.22,90.0,91,2026-08-17T13:00:07.087,32335,1080,1440,1,1022
rotation_Dp100d000_Xn1d221_Yp0d220_2026-08-17T13-00-17.971.tif,scan_point,rotation,,,-1.221,0.22,100.0,91,2026-08-17T13:00:17.971,32335,1080,1440,1,1022
rotation_Dp110d000_Xn1d221_Yp0d220_2026-08-17T13-00-31.190.tif,scan_point,rotation,,,-1.221,0.22,110.0,91,2026-08-17T13:00:31.190,32335,1080,1440,1,1022
rotation_Dp120d000_Xn1d221_Yp0d220_2026-08-17T13-00-41.070.tif,scan_point,rotation,,,-1.221,0.22,120.0,91,2026-08-17T13:00:41.070,32335,1080,1440,1,1022
rotation_Dp130d000_Xn1d221_Yp0d220_2026-08-17T13-00-50.584.tif,scan_point,rotation,,,-1.221,0.22,130.0,91,2026-08-17T13:00:50.584,32335,1080,1440,1,1022
rotation_Dp140d000_Xn1d221_Yp0d220_2026-08-17T13-01-03.659.tif,scan_point,rotation,,,-1.221,0.22,140.0,91,2026-08-17T13:01:03.659,32335,1080,1440,1,1022
rotation_Dp150d000_Xn1d221_Yp0d220_2026-08-17T13-01-12.180.tif,scan_point,rotation,,,-1.221,0.22,150.0,91,2026-08-17T13:01:12.180,32335,1080,1440,1,1022
rotation_Dp160d000_Xn1d221_Yp0d220_2026-08-17T13-01-21.064.tif,scan_point,rotation,,,-1.221,0.22,160.0,91,2026-08-17T13:01:21.064,32335,1080,1440,1,1022
rotation_Dp170d000_Xn1d221_Yp0d220_2026-08-17T13-01-31.920.tif,scan_point,rotation,,,-1.221,0.22,170.0,91,2026-08-17T13:01:31.920,32335,1080,1440,1,1022
rotation_Dp180d000_Xn1d221_Yp0d220_2026-08-17T13-01-40.131.tif,scan_point,rotation,,,-1.221,0.22,180.0,91,2026-08-17T13:01:40.131,32335,1080,1440,1,1022
rotation_Dp190d000_Xn1d221_Yp0d220_2026-08-17T13-01-48.721.tif,scan_point,rotation,,,-1.221,0.22,190.0,91,2026-08-17T13:01:48.721,32335,1080,1440,1,1022
rotation_Dp200d000_Xn1d221_Yp0d220_2026-08-17T13-01-56.898.tif,scan_point,rotation,,,-1.221,0.22,200.0,91,2026-08-17T13:01:56.898,32335,1080,1440,1,1022
rotation_Dp210d000_Xn1d221_Yp0d220_2026-08-17T13-02-04.282.tif,scan_point,rotation,,,-1.221,0.22,210.0,91,2026-08-17T13:02:04.282,32335,1080,1440,1,1022
rotation_Dp220d000_Xn1d221_Yp0d220_2026-08-17T13-02-12.069.tif,scan_point,rotation,,,-1.221,0.22,220.0,91,2026-08-17T13:02:12.069,32335,1080,1440,1,1022
rotation_Dp230d000_Xn1d221_Yp0d220_2026-08-17T13-02-20.306.tif,scan_point,rotation,,,-1.221,0.22,230.0,91,2026-08-17T13:02:20.306,32335,1080,1440,1,1022
rotation_Dp240d000_Xn1d221_Yp0d220_2026-08-17T13-02-27.840.tif,scan_point,rotation,,,-1.221,0.22,240.0,91,2026-08-17T13:02:27.840,32335,1080,1440,1,1022
rotation_Dp250d000_Xn1d221_Yp0d220_2026-08-17T13-02-35.330.tif,scan_point,rotation,,,-1.221,0.22,250.0,91,2026-08-17T13:02:35.330,32335,1080,1440,1,1022
rotation_Dp260d000_Xn1d221_Yp0d220_2026-08-17T13-02-42.374.tif,scan_point,rotation,,,-1.221,0.22,260.0,91,2026-08-17T13:02:42.374,32335,1080,1440,1,1022
rotation_Dp270d000_Xn1d221_Yp0d220_2026-08-17T13-02-51.215.tif,scan_point,rotation,,,-1.221,0.22,270.0,91,2026-08-17T13:02:51.215,32335,1080,1440,1,1022
rotation_Dp280d000_Xn1d221_Yp0d220_2026-08-17T13-03-00.374.tif,scan_point,rotation,,,-1.221,0.22,280.0,91,2026-08-17T13:03:00.374,32335,1080,1440,1,1022
rotation_Dp290d000_Xn1d221_Yp0d220_2026-08-17T13-03-07.939.tif,scan_point,rotation,,,-1.221,0.22,290.0,91,2026-08-17T13:03:07.939,32335,1080,1440,1,1022
rotation_Dp300d000_Xn1d221_Yp0d220_2026-08-17T13-03-16.319.tif,scan_point,rotation,,,-1.221,0.22,300.0,91,2026-08-17T13:03:16.319,32335,1080,1440,1,1022
rotation_Dp310d000_Xn1d221_Yp0d220_2026-08-17T13-03-24.819.tif,scan_point,rotation,,,-1.221,0.22,310.0,91,2026-08-17T13:03:24.819,32335,1080,1440,1,1022
rotation_Dp320d000_Xn1d221_Yp0d220_2026-08-17T13-03-37.724.tif,scan_point,rotation,,,-1.221,0.22,320.0,91,2026-08-17T13:03:37.724,32335,1080,1440,1,1022
rotation_Dp330d000_Xn1d221_Yp0d220_2026-08-17T13-03-45.652.tif,scan_point,rotation,,,-1.221,0.22,330.0,91,2026-08-17T13:03:45.652,32335,1080,1440,1,1022
rotation_Dp340d000_Xn1d221_Yp0d220_2026-08-17T13-03-53.528.tif,scan_point,rotation,,,-1.221,0.22,340.0,91,2026-08-17T13:03:53.528,32335,1080,1440,1,1022
